skill_id,doc_node_value,skill_type
KS7LO8P3MXB93R3C9RWL,data science,Hard Skill
KS122Q26K5Z88T3FJWR0,data steward,Hard Skill
KS123RH5XSDNMXJPM4KR,exploratory datum analysis,Hard Skill
KS1226Y6DNDT05G7FJ4J,computer science,Hard Skill
KS4412R60NGTMD1785Z8,supervise learning,Hard Skill
KS441DK70RM6XLJ3P36X,time series,Hard Skill
KS120HN74DS7P7PZF5YG,anomaly detection,Hard Skill
KS122Q960QYMW3YH0YWF,data visualization,Hard Skill
ES5898668CF10C2DF619,clinical experience,Hard Skill
KS7G3NR64NRDVH5GDV3G,critical care,Hard Skill
KS126HY6YLTB9R7XJC4Z,microsoft office,Soft Skill
ES8B03DAD3B526316ED9,organizational skill,Soft Skill
KS122J56PZMMFL1SVY1F,critical thinking,Soft Skill
KS1219462WRQNHNTPZ7G,business partner,Hard Skill
KS1282M68WL9T4YH3SLF,product management,Hard Skill
KSQHPYPFP19BTM0G1QKB,user preference,Hard Skill
KS1282K6QK68NJHMG8V2,product design,Hard Skill
KS441PL6JPXW200W0GRQ,user experience,Hard Skill
KS4425C63RPH46FJ9BX7,write communication,Soft Skill
KS120GV6C72JMSZKMTD7,data analysis,Hard Skill
KS4401X75FD3DVJN5BYQ,restrict stock,Hard Skill
KS122PF6FZS3609GDG0V,ETL,Hard Skill
KS125BW74QLLYL9MMFR3,San,Hard Skill
KS7G7K873Z87GNGYHQKB,com,Hard Skill
KSBZ9LW988KC56I219SP,deep learning,Hard Skill
KS125255X8P1NNF7T5Z5,image processing,Hard Skill
KS120NP6J9YGDMN22JGF,computer vision,Hard Skill
KS1275V6DZ2L59VVKR17,object detection,Hard Skill
ES39A0A16CDFBA2513AE,image segmentation,Hard Skill
KS1261Z68KSKR1X31KS3,machine learn,Hard Skill
KSJ2QBJ158RE1QN9D3AZ,scikit learn,Hard Skill
ESC7869CF7378283E0AA,GCP,Hard Skill
KS122BL6MQ8L778WHKFZ,content design,Hard Skill
KS121W46CJXQ5ZQ506MS,decision make,Soft Skill
KS7G5876WMTZFDKF519T,quantitative analysis,Hard Skill
KS440XG6F9DTD3VG7JTV,stakeholder management,Hard Skill
KSXP0ABTAF9E0XOQ1MTF,jupyter notebook,Hard Skill
KS122VN73RX0QR6GMDHV,experimental design,Hard Skill
KS126VY6DLPDWFZD5VB8,natural language processing,Hard Skill
KSBT82B8RGICVTCD0A5O,analytic function,Hard Skill
KS1210269P78D7GH8LWY,big datum,Hard Skill
KS1218H6JY4J8RS4VJ78,management consulting,Hard Skill
KS122YN6N9Q3JFJXV01G,digital medium,Hard Skill
KS123Y76D7JBC3TT7S7W,financial datum,Hard Skill
ES65621B26F53842D8BE,back end,Hard Skill
KS1208P6ZMZ4N872Y7X5,API,Hard Skill
KS440Y66QZ713RJ4FQCH,statistical modeling,Hard Skill
KS7GT1F0QQOV7R7VGXQL,feature engineering,Hard Skill
KSC3BV1D6T0TMPSDJ88V,model validation,Hard Skill
KS120ZX7019J4V8DHBTM,business intelligence,Hard Skill
KS122HN63RD7JX5WNCJ8,creative problem solve,Soft Skill
KS125F678LV2KB3Z5XW0,problem solve,Soft Skill
KS122QR6MFLRQRX6MN12,query language,Hard Skill
KS7G2XR6TSC9R9P1FNQW,consumer package good,Hard Skill
ES72D57E1BC4BB22BBB0,supply chain,Hard Skill
KS126546T0C1332JMWTP,supply and demand,Hard Skill
ESCC9C5BCEDD2157A734,supply chain planning,Hard Skill
KS441NV70T1YBCZ3ZY0G,unstructured datum,Hard Skill
KSYMJOZ8SL2197CK9UAU,unsupervised learning,Hard Skill
KS440QS66YCBN23Y8K25,software engineering,Hard Skill
KS441S06L3NZBK0D6JM8,verbal communication skill,Soft Skill
KS1283D730N44ZMKX43Z,professional service,Hard Skill
KS124Q3726PHM9JNS05D,high education,Hard Skill
KS1218B5WWXNDNQTN9MP,business acumen,Soft Skill
KS123Y66DNRSJ1QGK9NW,financial analysis,Hard Skill
KS128006L3V0HM2B26N5,predictive modeling,Hard Skill
ESC1166A9FAE0B23BDCA,emerge technology,Hard Skill
KS123R86H3SBH3T7B3LQ,experience design,Hard Skill
KS683TN76T77DQDVBZ1B,security clearance,Certification
KS123HS61B4WJHXTJKCF,employee assistance program,Hard Skill
KS440XV73DVFTR0ZT2JC,state law,Hard Skill
KS128136Y4L9K8RGR8M0,prior authorization,Hard Skill
KS125S466GJGQXS1W0JM,machine learn algorithm,Hard Skill
KS120L96KMYTDJ48NRSH,software development,Hard Skill
KS128HW6NQNJ793GSYPW,religious belief,Hard Skill
ESFA9982A2A945E439CB,analytical skill,Soft Skill
KS1282K6L2GNN4SDY2WN,product demonstration,Hard Skill
KS120RX61Z1Z2DHXR4H6,augment reality,Hard Skill
KSW9TTFZIT3Z3ZOU5ML9,data annotation,Hard Skill
KS1227K6DGHN5PZTCDD0,computer engineering,Hard Skill
KS128006SHHBNZBR2DQZ,predictive analytic,Hard Skill
KS121F4694GS21ZNM1VZ,case analysis,Hard Skill
KS1228M5YLL3CMH7F73K,confidence interval,Hard Skill
KS120276F2WTD1S8030J,a b testing,Hard Skill
KS1282K6XPGKSGR1826F,product engineering,Hard Skill
KS440Y87796WPP7W46RT,statistical method,Hard Skill
ES47490A37A5BAFC9848,research paper,Hard Skill
KS1218Z5ZY0SPNMNSX4H,business model,Hard Skill
KS4418P67WQQGGD3YBY5,technical training,Hard Skill
ES444F7110B700C46A8C,deep learning method,Hard Skill
KS12272742SM1ZV7T0FJ,computational biology,Hard Skill
KS121ZZ72H24DRC50WNL,clinical trial,Hard Skill
KS1218C6C8TX2Y1KRN37,business analysis,Hard Skill
ES9C0ADA3C9397DD6AED,agile software development,Hard Skill
KSCU3OEY19T2SAG4QV2W,video player,Hard Skill
KS1206R6J3HDQV8PPC87,operation research,Hard Skill
KS4400Z66ZPBYGSKVLTV,research experience,Hard Skill
KS120Y76MLML1SWPM08V,bayesian statistic,Hard Skill
KS1244K68C6XP7VF1ZCX,front office,Hard Skill
KS123PC6DY2MQV0XP43Q,reach,Hard Skill
ES95B6F9FEB492CE923D,act,Hard Skill
KS1242W68Y5QN3S32W3C,case,Hard Skill
KS120BV6SR75RBKQH0G3,artificial intelligence,Hard Skill
KS123B46MPTGN77W9CXV,economic statistic,Hard Skill
ES58B589F1D2D5363714,database system,Hard Skill
ESC80C5E846C65F847EB,digital transformation,Hard Skill
KS1257G5YDNT5MY2QGT1,intellectual capital,Hard Skill
KS1263Z68YC0VSYGXHYX,manage service,Hard Skill
KS4420H75G906GRK0QJZ,web service,Hard Skill
KS1218Y74WJ6YV4KH0DM,business process,Hard Skill
KS12195734TLQBG7XL90,business process automation,Hard Skill
KS127BB5X2N6CHD4LKQZ,IDE,Hard Skill
KS7G2N26Y8MHXH3YKFTS,EDA,Hard Skill
ES36B436F09327200286,job description,Hard Skill
KS1230W79VHJQSFBXW2G,electronic component,Hard Skill
KSEMN7OBS45ME5HVBXHO,format conversion,Hard Skill
KS120LJ622LFWG8DCSDG,apply mathematic,Hard Skill
KS4418H6KF3VZV19RK99,technical information,Hard Skill
KS1219D6XC15QN4LWQDK,strategic business unit,Hard Skill
KS1227V6WBR3BH3SJYSZ,information technology,Soft Skill
ESB92020333F27589A43,technology solution,Hard Skill
KS120SR6WD1FP76Z6GC2,customer support,Hard Skill
KS1257J640C5X6F0LNXJ,intelligence analysis,Hard Skill
ES32D8149FD8FD39B1A6,cyber operation,Hard Skill
ESD6B3E26476FDF09DE3,system development,Hard Skill
KS4415X6DKZ8BMBPY9H9,system integration,Hard Skill
KS124QX6RSM77LR2TH96,human in the loop,Hard Skill
KS122P767ZWK429HNC22,data infrastructure,Hard Skill
KS440HG6L2FMWJBJDZQK,service level,Hard Skill
KS1217R79C39LJNR6605,build control,Hard Skill
KSQPGV2XZO8UMNCC49LK,detail orient,Soft Skill
KSPW6SYT2CM7EW9VBP1H,reporting tool,Hard Skill
KS123VY68V8PQW41NQ85,federal law,Hard Skill
KS440ZZ6HJGY92HPTWCV,business strategy,Hard Skill
KS128F265DV4XTBR70H7,real estate,Soft Skill
