Title,Company,Location,Rating,Date,Salary,Description,Links,Descriptions
Jr. Data Scientist,Talentheed Inc,Remote,4.6,PostedPosted 2 days ago,"$56,951 - $119,187 a year","To apply to data sets, create unique data models and algorithms.
Examine the efficacy and precision of new data sources and data collection procedures.",https://www.indeed.com/company/Talentheed-Inc/jobs/Junior-Data-Scientist-01884c56a6d437df?fccid=c74998f9af9be394&vjs=3,"Responsibilities : -
Coordinate with different teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Collaborate with stakeholders throughout the organization to discover ways to use corporate data to create business solutions.
Mine and analyze data from company databases to promote optimization and enhancement of product development, marketing tactics, and business strategies.
Examine the efficacy and precision of new data sources and data collection procedures.
To apply to data sets, create unique data models and algorithms.
Increase and improve customer experiences, revenue creation, ad targeting, and other company results through predictive modeling.
Benefits : -
Pre job Training with Experienced Trainers.
Assignments & Case Studies provided during training.
Mock sessions before interviews.
Multiple interview rounds with different clients.
Training completing certificates.
Job Types: Full-time, Part-time
Pay: $56,951.30 - $119,187.11 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Schedule:
4 hour shift
8 hour shift
Work Location: Remote"
Data Scientist,"Shaw Industries Group, Inc.",Remote,3.8,PostedPosted 5 days ago,NaN,Partner with data scientists across the enterprise to help support the operationalization and ongoing maintenance of enterprise data science solutions.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CrvEjiI1EGEnRdQcpM6oig2JvaZXiHQsku1pqyTao9qod5Og62w5ho1fxZU1Vsi_CCuoqlnRWdQ-ueZUFVbuXNabifLIlYgkfbWRTi_SF8v9F2nD92es8XMSjxPP_JChY-aZel7WBcSQUHQk8LKhrH0kIZa0xmftP12ROH36PRG08CtfAX4bmmBMXG_OBPJrDAAHY-6ANcOheVWmwzFwN14coCKi8k2HXYKFo_iE4J_543jaOrFnO0_0j0ldmRGIzYENz5RHye39gr7AixXvw-NAu-WNsDJGKhouenzKVRPYBagW4dZYXZaxKGaXavoO_mVR-4qC9WacZzRshoS1aBEntE_nEfre3sKfXmbRcUJmaqjcrPjcLD9jziGcjoAMizSx9eFUcTQiHkj7Qp15pcGwmW7GxlaAqIEbL3iKqXCguajXO1z1qHEswD1AqcGOtTlMai1zGcX-F0wS7GmqUxYdbAcRLPQ_zCMJhhu0Syog==&xkcb=SoA0-_M3WJmDXGWbER0KbzkdCdPP&p=1&fvj=1&vjs=3,"We are looking for a data scientist to join our enterprise analytics team! This individual will partner with various areas of the company to help formulate their business problems into data science exercises and build end-to-end analytics solutions. They will also partner with other data scientists in the company to help support, operationalize, and maintain enterprise data science solutions.
This role will involve heavy collaboration with data engineers, data stewards, product owners and business experts to support projects throughout the entire data science lifecycle. The data scientist’s tasks will include data wrangling, exploratory data analysis, hypothesis testing, modeling, rapid prototyping, business validation/testing, and operational deployment.
Responsibilities:
Work cross functionally to help define problem statements, collect and wrangle data, conduct hypothesis testing, build and deploy machine learning models and make recommendations
Visualize information and develop engaging presentations on data science findings and results
Communicate findings and recommendations to technical and non-technical audiences
Partner with data scientists across the enterprise to help support the operationalization and ongoing maintenance of enterprise data science solutions
Maintain expertise and awareness of emerging data science techniques, technologies and potential business applications for ML/AI
Help coach and mentor data scientists and analysts throughout the company
Minimum Qualifications:
3+ years of Data Scientist experince (out of school)
Bachelor’s degree in a quantitative field (e.g., Mathematics, Statistics, Computer Science)
Strong programming skills in Python or R and SQL
Knowledge & applied experience using statistical and modeling techniques such as hypothesis testing, supervised learning methods (classification and regression), clustering, time series, and outlier/anomaly detection
Experience building, testing and deploying production ready models
Strong skills and knowledge of model training approaches, hyperparameter tuning, and model evaluation
Experience with data visualization tools and packages (e.g., Tableau, matplotlib, ggplot, etc.)
Ability to think creatively to solve problems and effectively break down complex problems into logical and manageable steps
Ability to present data and findings in a concise and engaging manner
Ability to communicate across all levels of the organization (technical and non-technical) and work with diverse project teams
Preferred Qualifications:
Master’s degree in a quantitative field (e.g., Mathematics, Statistics, Computer Science)
Experience using cloud-based infrastructure such as Azure and AWS
Experience with MLOps frameworks such as MLFlow
Experience working in an Agile environment
Experience using Spark for large scale data processing
*No H1B sponsership available*
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Health savings account
Life insurance
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
No nights
No weekends
Application Question(s):
Do you require sponsorship to work, now or in the future?
Education:
Bachelor's (Required)
Experience:
Statistical model: 3 years (Preferred)
SQL: 3 years (Preferred)
Data Science: 3 years (Preferred)
Work Location: Remote"
Data Scientist (Remote),Yelp,Remote,3.4,PostedPosted 30+ days ago,"$96,000 - $220,000 a year","Communicate key insights from analyses, experiments and data products to stakeholders.
Prior industry experience building online experimentation and machine…",https://www.indeed.com/rc/clk?jk=0072004f2d3180a4&fccid=0e94073a1c937bd1&vjs=3,"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This opportunity is fully remote and does not require you to be located in any particular state within the US. We welcome applicants from throughout the US.
Where You Come In:
Join a team of Data Scientists and Data Science Analysts that develop analytical frameworks and reliable measurement strategies for Yelp products
Design, execute, and analyze complex business and user experiments
Partner with other Data Scientists and Data Engineers to set the vision for and develop our experimentation platform
Devise and evaluate models for diverse business needs, such as identifying growth opportunities, estimating the impact of new features on our platforms, and personalizing the user experience
Proactively research and build ETL pipelines for product and marketplace metrics
Communicate key insights from analyses, experiments and data products to stakeholders

What It Takes to Succeed:
Ability to apply statistical, analytical and technical expertise to product and business problems
Prior experience structuring and leading impactful data science projects independently
Oral and written communication skills to mentor colleagues, and work effectively with partners on engineering, product and business teams
Expertise in SQL, and R or Python for data analysis and platform development
Enthusiasm for building a culture of learning and development
MS/PhD in quantitative field and 3+ years of industry experience in a senior quantitative role preferred

It's Nice To Have:
Product analytics experience with small business or consumer technology products
Prior industry experience building online experimentation and machine learning platforms

What You'll Get
This opportunity has the option to be fully remote in locations across the US.
Compensation range is $96,000-$220,000 annually. You may also be offered a bonus, restricted stock units, and benefits.
For more information about US benefits at Yelp, please check out this link.

#LI-Remote

At Yelp, we believe that diversity is an expression of all the unique characteristics that make us human: race, age, sexual orientation, gender identity, religion, disability, and education — and those are just a few. We recognize that diverse backgrounds and perspectives strengthen our teams and our product. The foundation of our diversity efforts are closely tied to our core values, which include “Playing Well With Others” and “Authenticity.”

We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition or disability.

Actual salary offered may vary based on multiple factors, including but not limited to, an individual's location and experience.

We will consider for employment qualified candidates with arrest and conviction records, consistent with applicable law (including, for example, the San Francisco Fair Chance Ordinance for roles based in San Francisco).

We are committed to providing reasonable accommodations for individuals with disabilities in our job application process. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-recruiting@yelp.com or 415-969-8488.

Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.

CCPA Privacy Notice"
"Analyst I, Data Science",Liberty Mutual Insurance,Remote,3.6,PostedPosted 1 day ago,"$70,100 - $161,600 a year",Competencies typically acquired through a Master's degree (scientific field of study) and 0-1 years of relevant experience or a Bachelor's degree (scientific…,https://www.indeed.com/rc/clk?jk=cd0fa8f45814bb7e&fccid=f33a9750898d12d4&vjs=3,"The Product Design and Modeling Department of Global Retail Markets is hiring an individual contributor for its Complex Components team. The Complex Components team develops sophisticated models that are used as input, or as complement, to our core pricing programs. The Individual Contributor role will report to the Underwriting Design team Manager and will build predictive models to improve the effectiveness of our underwriting actions and improve profitability across Personal Lines. The ideal candidate is proactive and intellectually curious, highly technical, and can think through complex business questions efficiently.
**This is a ranged posting. Position offered will be based on candidate experience at manager discretion.**
Responsibilities:
Research strategies and methodologies for new applications of advanced modeling techniques to inform underwriting decisions across Personal Lines.
Build, refine, and evaluate predictive models.
Understand our UW rules and processes in great detail; Determine predictive modeling strategies to improve process and profitability outcomes.
Collaborate with Delivery, State, IT, and various PL experts across the organization to develop and implement models.
Present recommendations to key stakeholders.
Engage with the Data Science community.
Qualifications
Solid knowledge of predictive analytics techniques and statistical diagnostics of models.
Advance knowledge of predictive toolset; expert resource for tool development.
Demonstrated ability to exchange ideas and convey complex information clearly and concisely.
Has a value-driven perspective with regard to understanding of work context and impact.
Competencies typically acquired through a Master's degree (scientific field of study) and 0-1 years of relevant experience or a Bachelor's degree (scientific field of study) and 3+ years of relevant experience.
At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.

Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion

We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits

Liberty Mutual is an equal opportunity employer. We will not tolerate discrimination on the basis of race, color, national origin, sex, sexual orientation, gender identity, religion, age, disability, veteran's status, pregnancy, genetic information or on any basis prohibited by federal, state or local law.

15"
Nurse Data Miner,The Marker Group,Remote,3.0,PostedPosted 4 days ago,$30 - $38 an hour,"We are seeking full time, temporary or part-time Nurse Data Miners to review records to identify additional locations to collect records (data mining), as per…",https://www.indeed.com/company/The-Marker-Group/jobs/Nurse-Data-Miner-140b655ec00b030a?fccid=e49cf332ec5a5a9d&vjs=3,"Nurse Data Miner
The Marker Group is a prominent national company in northwest Houston that provides primarily defense litigation support services including record collection and analysis and medical review for complex legal cases.
We are seeking full time, temporary or part-time Nurse Data Miners to review records to identify additional locations to collect records (data mining), as per project protocol. Full-time positions are 30-40 hours per week with benefits. Temporary or part-time positions are contract (no benefits) and will be 29 hours or less per week. Paid in-house training for 5 days, then completely remote.
Requirements:
Registered Nurse or LVN's
Minimum of 5 years clinical experience required, preferably ER, ICU, Critical Care. Other specialties will be considered.
Ability to effectively communicate verbally and in writing.
Strong computer skills. Proficient in Microsoft Office Word. Knowledge of and practice with Outlook, and Excel.
Strong organizational skills.
Strong critical thinking skills.
Ability to meet short deadlines and prioritize workload.
Job Types: Full-time, Part-time, Temporary
Pay: $30.00 - $38.00 per hour
Schedule:
Self-determined schedule
Work Location: Remote"
Data Scientist Co-Op (Spring 2023),The Hershey Company,Remote,3.7,PostedPosted 30+ days ago,NaN,"Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.",https://www.indeed.com/rc/clk?jk=c5c10211b71b9b8f&fccid=e08898c7a89673c9&vjs=3,"Location: Remote
Duration: Spring 2023

WHY HERSHEY?
The Hershey Company is a global fortune 500 company that is a recognized leader in the Consumer Packaged Goods industry. Our goal is to integrate students with our knowledgeable and successful teams in order to maintain a fresh perspective on an ever-changing world. Every day presents new challenges and opportunities to learn, grow and innovate. Are you up for the challenge? Are you ready to make a difference?

WHY SUPPLY CHAIN AT HERSHEY?
The Supply Chain organization at The Hershey Company has open internships for analytically minded, tech-savvy undergraduate and graduate students. Technology and analytics are elemental to all aspects of Hershey’s supply chain. Hershey has a diverse global team focused on providing robust innovative capabilities, partnering on analysis to drive successful business outcomes and embraces an entrepreneurial mindset to create an environment that is exciting, compelling, innovative and dynamic.

We are looking to fill a Data Scientist Co-Op role with the Supply and Demand Planning Center of Excellence. This role will be focused on using implementing analytical methods through software to understand, improve and monitor our forecasting system and process. Additional data related problems are continuously arising; additional opportunities will be available based on experience/skill level. This work ensures the most accurate forecasts are being used to impact multiple facets of our supply chain planning.

RESPONSIBILITIES:
Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.
Builds high-end analytic models, utilizing supervised and unsupervised learning models, to support decision makers with data driven insights that address immediate business problems and objectives.
Creates informative visualizations that intuitively display large amounts of data and/or complex relationships.
Translates data analytics into coherent reports and presentations for internal and external customer with varying degrees of technical knowledge.

QUALIFICATIONS:
Passion for analytical problem solving.
Pro-active problem solver who continually asks why to understand root causes.
Experience with R or Python, SQL.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Knowledge of machine learning techniques and approaches (feature engineering, classification, clustering, decision trees, etc.).
Knowledge of time series analysis and forecasting a plus.
Familiar with software engineering tools and processes (git, repositories, containers, devops, PyCharm,etc.).
Quick learner through formal and self-guided education.
Ability to work in teams or individually.
Courage to challenge the status quo and take smart risks.
Excellent written and verbal communication skills for coordinating across teams.

EDUCATION:
Bachelors degree candidates in quantitative, STEM focused programs are preferred (e.g. Business, Computer Science, Engineering, Economics, Mathematics, Statistics)
Demonstrated experience with, and knowledge of, tools and techniques will also be considered.
The Hershey Company is an Equal Opportunity Employer. The policy of The Hershey Company is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's race, color, gender, age, national origin, religion, citizenship status, marital status, sexual orientation, gender identity, transgender status, physical or mental disability, protected veteran status, genetic information, pregnancy, or any other categories protected by applicable federal, state or local laws.

The Hershey Company is an Equal Opportunity Employer - Minority/Female/Disabled/Protected Veterans
If you require a reasonable accommodation as part of the application process, please contact the HR Service Center (askhr@hersheys.com)."
Data Scientist,Ntropy Network,"Remote in New York, NY",NaN,PostedPosted 24 days ago,"$130,000 a year","Our end product is an API that makes financial transactions accessible to both humans and machine-learning models, in a scalable and privacy-preserving way.",https://www.indeed.com/rc/clk?jk=fe6e382847752143&fccid=dd616958bd9ddc12&vjs=3,"Over the last few decades, technological innovation has relied on democratizing some of its key ingredients: knowledge (open publishing platforms), algorithms (code repositories) and computing (cloud providers). However, the last key component, data, largely remains trapped behind barriers of regulation, privacy, schema standards and competitive risk. Enabling scalable access to data will unlock enormous value for both individual developers and companies. This has only been made possible in the last few years, through advances in manifold learning algorithms and privacy-preserving computing. See our blog for more details.

One of the most valuable kinds of data today is in the financial sector. Financial data plays a key role across many industry verticals. However, it has notoriously been locked behind regulatory barriers and a lack of format standards. Our end product is an API that makes financial transactions accessible to both humans and machine-learning models, in a scalable and privacy-preserving way.

We
- come from various fields - engineering, mathematics, physics and arts.
- are allergic to over-engineering.
- are anarchists at heart and like to hack around the status quo.
love playing board and video games.
- are radically honest and appreciate challenging one another, rather than giving out “pats on the back”. Yet, we can always rely on each other for support, feedback and results.
- are willing to learn and adapt quickly to new situations and requirements. Languages, frameworks, libraries, compilers, etc. are just tools for a job. A new problem might need a new tool. If it doesn’t exist yet, we will build it.
- have a sense of humor (well, we think we do).

As an early member of our data science team, you will help
- push the limits of what can be done with data.
- build the team and drive the direction of the company.
- shape our product and culture.
- experience the direct impact of what you build on hundreds of millions of people’s financial lives.

The following are required
- the tools: Python, Pandas / Polars, Matplotlib, sklearn, etc.
SQL and fundamental database operations.
- recognized open-source contributions and/or top performance in data competitions (Kaggle, Numerai, etc.).
fluency in statistics and probability.

FAQ

Where is Ntropy located?

We are fully remote, with a virtual base in New York, US.

What time-zones do you work with?

We hire anywhere in GMT-7 to GMT+1.

Do you consider part-time work?

Not at the moment. Full-time roles only.

How are you funded?

We are backed by some of the top fintech investors in the world. Have raised single-digit millions of dollars so far. Can share more details over the call.

Do you already have a product and customers?

Yes. We have been in production since 1st April 2021 and have been rapidly growing since.

Do you plan to sell customer data?

Ntropy is on a mission to enable products without data barriers. We will never sell customer data and will always put privacy and customer benefit ahead of any auxiliary financial gains.

What is the interview process like?

1. Send us problems you have solved before and how. Please include as much detail as possible: code, algorithms, derivations, proofs, etc. We will then do a video call to kick things off and go through it (45 mins).

2. We will give you a take-home project related to whatever we are currently working on (3-4 hours). Alternatively, if you have a relevant project that you worked on previously that demonstrates your skills as an engineer, you are welcome to use that instead.

3. We will then do a deep-dive through the project over a call and discuss the implementation, improvements and bottlenecks.

Above all, we respect your time and commitment and will keep you up to speed on where we are at during the whole process.

What are your hiring plans?

We aim to be 30-40 people by the end of the year. Mostly engineering roles.

What is your current stack?

back-end - Python + Rust (where performance matters)
compute - AWS, GCP
ML - PyTorch, ONNX, Triton

Work / life balance?

We are a startup which requires you to put in a lot more work and soul than a regular job. We believe, however, that nothing easy is worth doing. We will expect a lot from you, and you should expect a lot from us.

What is the compensation?

$130k (adjusted for location) • 0.09%"
Data Scientist,DeepScribe,"Remote in San Francisco, CA",2.4,PostedPosted 2 days ago,NaN,"Analyze product data to identify problems and ideate product features and process enhancements.
Build controls, processes, and systems to ensure SLAs are met to…",https://www.indeed.com/rc/clk?jk=f7b2e9206e2fd91c&fccid=cb212f9b563bf78a&vjs=3,"Our Mission
At DeepScribe, everything we do is focused on our mission - to bring back the joy of care to medicine. Our goal is to empower physicians with the tools they need to improve both efficiency and efficacy and to improve patient outcomes by increasing the trust and understanding they have with their physicians. You will have the opportunity to transform healthcare.

What you'll do
As a Data Scientist, you will be accountable for data gathering and analysis of capacity forecasts, experiment results, and optimization of demand profiles.

Your impact
As a Data Scientist, you will apply operations research and statistical models to solve core challenges to DeepScribe.
You will work closely with senior executives to drive data-driven decisions related to human-in-the-loop Operations, Revenue Operations, and Product Operations.
Build data infrastructure to measure individual user service level requirements and develop systems to intelligently route resources to meet those requirements.
Develop models that measure growth, seasonality, and absorption of our human in the loop operation (contingent/partner resources) to train AI models and deliver medical notes within company-set SLAs.
Forecast quarterly, and semi-annually the capacity needed, alongside ensuring team members fulfill scheduled shifts from a demand side. Build controls, processes, and systems to ensure SLAs are met to deliver a best-in-class service.
Analyze product data to identify problems and ideate product features and process enhancements. Work cross functionally to pioneer and drive your own ideas to execution.
Contribute to margin improvement and experimental efforts
Drive experimentation and launch new data-driven efforts
Work Cross functionally and with leaders to build centralized reporting infrastructure

About You
Experience as a Data Scientist in a technology company
Degree in Data Science, Data Analytics, Statistical Analysis, or similar
Thrive in an independent work environment
Detail-oriented, leave nothing to chance
Achieve goals consistently and efficiently
Hold yourself accountable for work completed
You're proficient with general reporting tools and languages. SQL is a must, and you also have experience with other tools like Excel, Python, or R.

Perks and benefits
Meaningful equity stake in the company
Flexible PTO
Work from home stipend
Medical, Dental, Vision, 401K and other benefits are also offered

About the Team
At DeepScribe, we value trust, teamwork, and transparency, and we're dedicated to promoting diversity and equity in the workforce through inclusive hiring practices. Candidates with backgrounds that are underrepresented in the technology industry are encouraged to apply.
In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required eligibility verification form upon hire."
Junior Data Scientist,Augray,"Remote in Brookfield, WI 53045",NaN,PostedPosted 30+ days ago,"$55,000 - $60,000 a year","Exposure to writing code (Python preferred, R and SQL okay), collaboration (Git), developing models (machine learning, boosting & bagging algorithms, &/or…",https://www.indeed.com/rc/clk?jk=3af02d93417e951c&fccid=2e2cd27fc703e613&vjs=3,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.
We are a fast-growing tech start up and have grown to over 100 employees today, launched 3 products and customers across 3 continents including brands like CocaCola, Reliance, Caterpillar, Simpsons and more.
We’re a small and impactful team of engineers, artists, solution geeks continuously working to improve our product and our craft. We use modern, cutting-edge tech stack and love experimenting and patenting with new technologies to create our products and provide opportunities for them to continue to learn and grow into leaders and experts.
We are excited to find a person that has the passion, experience, and ability to own significant R&D tasks and product evolution working individually and or along with a team of virtual engineers.
About the Role:
Research isn’t just a buzzword to you In your role as a Data Science Associate, you will use AI, ML (Machine Learning) to deliver insightful and actionable intelligence and predictive solutions to our team to create innovative solutions for our products. You will gain experience working in AR (Augmented Reality), ML, NLP and developing data driven solutions to create algorithms while working closely with other team members of our Data Science and engineering team to deliver value to our product evolution. Aside from supporting our data science model creation and data teams, you'll also assist the product team with growth opportunities. You over-invest in the visual and interaction and a passion to solve challenges while creating innovative patentable approaches.
Required Skills:
Work with Product Managers and Engineers to dive deep into data and the user experience
Construct product metrics and statistical models to identify growth opportunities
Handle data annotation and data analysis requests from multiple stakeholders with high efficiency and quality in a fast-paced environment.
Help with the development of the annotation guidelines.
Analyze language data and evaluate trends and patterns.
Participate in an annotation tool testing and onboarding.
Track and report quality metrics and ensure delivery on all KPIs and SLAs agreed with stakeholders.
Maximize productivity, process efficiency and quality through streamlined workflows, process standardization, documentation, audits and investigations on a periodic basis.
Qualifications:
Bachelor’s or equivalent experience in Mathematics, Statistics, Econometrics, Computer Science, Electrical or Computer Engineering, or related field
1+ years’ of experience as data scientist, modeling in python or R
Bachelor/master’s degree students pursuing degrees in data science, statistics, applied math, computer science, engineering or other quantitative fields providing sufficient data science foundations
Exposure to writing code (Python preferred, R and SQL okay), collaboration (Git), developing models (machine learning, boosting & bagging algorithms, &/or regression techniques), and performing predictive analytics testing and evaluation (match case analysis, confidence intervals, experimental design, A/B testing, etc.).
A hunger to learn and work on challenging problems.


Location: Remote (work along with other remote engineers)
Compensation: 55K to 60K with benefits
Please contact: interns@wisdominfotech.com
Immigration status: You should be a US Citizen or GC holder
Start Date: ASAP"
"Data Scientist, Analytics II #0000","Twitch Interactive, Inc.","Remote in San Francisco, CA 94104",3.5,PostedPosted 22 days ago,NaN,"1 year of experience using statistical computer language R, Python, or SQL to manipulate data and draw insights from large data sets.",https://www.indeed.com/rc/clk?jk=e81231b39cf512d0&fccid=fe2d21eef233e94a&vjs=3,"A Master’s degree or foreign equivalent in Computer Science, Engineering, Artificial Intelligence, Data Analytics, Statistics, Mathematics, or related field and 1 year of experience in a related occupation.

In the alternative, employer will accept a Bachelor’s degree or foreign equivalent in Computer Science, Engineering, Artificial Intelligence, Data Analytics, Statistics, Mathematics, or related field followed by 5 progressively responsible years of experience in a related occupation.

Experience must include:
1. 1 year of experience developing A/B testing frameworks.
2. 1 year of experience visualizing data using Tableau.
3. 1 year of experience using statistical computer language R, Python, or SQL to manipulate data and draw insights from large data sets.
4. 1 year of experience applying fundamental statistical principles to solve applied problems.

Telecommuting benefits available
#0000

Job summary
Employer: Twitch Interactive, Inc.
Position: Data Scientist, Analytics II
Location: San Francisco, CA

Multiple Positions Available
1. Transform data into actionable insights and take data-driven approach to drive business decisions.
2. Translate loosely-defined business problems into analytic terms by applying and adapting existing frameworks and solutions. Deliver artifacts in the form of analysis reports, spreadsheets, design specs (for data tracking or A/B experiments) and dashboards. Build solutions that scale wherever possible, and partner with engineers or other teams to deliver self-serve tools that automate repeatable analytic tasks.
3. Solve problems using appropriate assumptions and translate findings into actionable recommendation.
4. Assume responsibility for correct implementation and validate data, assumptions and results.
5. Communicate work clearly, and adapt messaging for both technical and nontechnical audiences.
6. Participate in team business reviews, design, scoping, and prioritization discussions.
7. Work effectively with customers and/or internal partners to understand business impacts and identify any opportunities/problems arising from the technical or business decisions.
8. Provide feedback and analytics guidance to more junior team members.
9. Telecommuting benefits available.
#0000

All applicants must meet all the above listed requirements.

#0000

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
